ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label,P(Group_6)
iDR3.SPLUS-s25s32.026655,49.49085324813458,-32.15681289170432,0.45520914,0.3343591,1.5023116,"[1.3554515,2.532202,3.696266,5.626918]",6.9658437,4.0,6.5125203,18.356106,1.4294277,99.0,21.589981,22.040426,1.1937951,20.546806,0.51672226,23.382393,6.154563,21.237064,0.8401968,21.741255,0.43809426,20.470379,0.31875944,22.47341,0.7965875,22.901773,23.62572,24.06723,3.5309052,20.94835,0.25960267,21.338682,0.8043324,20.453423,0.2970897,6,0.5535804687834329
iDR3.SPLUS-s25s32.026676,48.56420492819876,-32.153626790658066,0.027961815,0.24103403,1.3175821,"[1.6040426,2.8832533,4.857122,6.819635]",8.554044,5.0,7.2271924,18.422077,1.6410606,24.122585,6.1821346,23.219543,4.4122505,21.595097,1.6837682,21.326916,1.2583704,20.623758,0.6469245,99.0,21.97403,24.416788,16.14855,21.56732,0.45874208,21.401815,21.251339,21.045496,0.29148498,20.498394,0.23333398,19.594126,0.2188924,19.719149,0.20405881,6,0.7648942568039883
iDR3.SPLUS-s25s32.026702,49.67468251385247,-32.15527591452373,0.42522496,0.32022423,1.4710733,"[1.2031707,2.5998907,4.434774,6.427489]",4.3444705,4.0,6.837101,18.18094,1.2885749,24.0752,4.4919767,99.0,21.002748,24.686583,21.97646,99.0,20.54751,99.0,20.803356,22.671398,0.9819152,20.770876,0.40051922,22.281282,0.6371913,21.996372,21.972055,21.412449,0.29500395,20.784643,0.21446173,19.928968,0.21211384,20.273376,0.24136701,6,0.831748220387461
iDR3.SPLUS-s25s32.026703,48.55980892345632,-32.15294353488948,0.03796363,0.26481915,1.3602095,"[1.2725263,2.357499,3.2632213,4.7197933]",6.4603496,9.0,7.478708,18.146885,1.7057163,22.295902,1.2179122,99.0,21.002748,99.0,20.432768,99.0,20.54751,21.551178,1.6065933,21.526089,0.51501507,21.319841,0.99119323,20.662807,0.2122023,21.032192,20.781624,21.847534,0.64382327,21.077808,0.4214226,20.333307,0.4575094,21.865318,1.5586092,6,0.7190360738564651
iDR3.SPLUS-s25s32.026704,49.66167313550175,-32.15535278455916,0.3969536,0.28220248,1.3931506,"[1.4407322,4.7064915,5.969918,7.496399]",4.546024,4.0,7.8300548,18.197104,1.2493998,22.379894,1.0695353,20.647963,0.35890308,21.984138,2.0693493,99.0,20.54751,21.7185,1.411339,22.062923,0.6353481,20.8993,0.50857574,21.791155,0.4596667,22.813501,22.812891,21.22723,0.28134516,20.937378,0.2786636,20.039845,0.2650244,20.209383,0.2573284,6,0.8121949595874189
iDR3.SPLUS-s25s32.026714,49.4313067044412,-32.15516229452088,0.48226365,0.32253516,1.4760914,"[1.2474604,2.4964538,3.562058,5.0858717]",4.8196683,3.0,7.210435,18.109793,1.4657253,22.770191,1.6125857,99.0,21.002748,99.0,20.432768,20.623629,0.5538638,21.544409,1.2616745,21.501884,0.39846843,20.66413,0.43011862,22.117123,0.6500618,21.86865,22.182663,21.86191,0.5269279,21.948456,0.7369045,20.292961,0.34949526,20.749483,0.4420524,6,0.5689916202433859
iDR3.SPLUS-s25s32.026724,49.56372751771475,-32.1548423908738,0.35911974,0.54789084,2.2118552,"[1.9264477,4.5656357,5.6744833,7.214876]",4.558179,3.0,7.512625,18.097895,2.389831,22.270576,1.4238425,24.31935,15.3786,99.0,20.432768,22.280815,3.5420392,20.115572,0.47503167,20.699686,0.26649794,20.982147,0.8024537,20.904367,0.2984538,21.277802,20.919237,21.000391,0.3339516,21.042755,0.44853866,20.411898,0.54437286,20.345251,0.42634237,6,0.5265305187692824
iDR3.SPLUS-s25s32.026745,49.37748945023417,-32.15427598641292,0.50405496,0.25337714,1.3393643,"[0.922861,1.6893313,2.5199063,5.2306333]",3.5691924,7.0,6.997936,17.87856,1.2679329,24.410007,6.448016,22.479643,1.7896893,20.876959,0.69948685,25.41706,40.18348,21.957619,1.6317891,22.1491,0.63840085,23.04111,3.3706417,22.047634,0.5398555,22.338245,22.410294,22.564243,0.8883105,21.637953,0.49031937,19.88067,0.21250665,20.241518,0.2455472,6,0.5452450128474762
iDR3.SPLUS-s25s32.026774,49.42828472682368,-32.15338438873945,0.0014426028,0.20236439,1.2537054,"[1.802353,3.487355,5.861895,8.552541]",7.939247,23.0,6.6173115,17.811844,2.2735891,20.9436,0.4687203,20.836287,0.69550717,21.260654,1.7450457,99.0,20.54751,21.671185,2.2063606,20.519577,0.25145674,20.834171,0.77995855,20.362974,0.20216903,20.587088,20.103598,20.39888,0.21418141,19.912052,0.17674889,19.462301,0.2534112,19.765915,0.27862218,6,0.6386609987754374
iDR3.SPLUS-s25s32.026793,49.06849834570325,-32.15243102623745,0.47797295,0.14573252,1.1705935,"[1.1502023,2.6305203,4.752196,1.3084141]",6.2794247,6.0,6.832549,18.037935,1.1387768,99.0,21.589981,21.241497,0.53347784,21.779833,1.4816749,99.0,20.54751,99.0,20.803356,23.347572,1.7974019,99.0,21.03316,21.052431,0.20338395,21.340824,20.820581,20.896135,0.18126573,21.024786,0.26379105,20.768122,0.45171535,20.336287,0.2529545,6,0.7644400449926334
iDR3.SPLUS-s25s32.026802,48.63835691065268,-32.15026005651158,0.011312235,0.23184419,1.3018192,"[1.6753992,3.350235,5.0124483,9.877598]",8.439423,13.0,6.9247217,17.991003,2.05806,99.0,21.589981,20.828335,0.5914257,19.55839,0.31426966,22.881046,6.3604846,99.0,20.803356,24.069258,6.096036,21.03435,0.8698875,20.748392,0.26152882,20.997478,20.946789,21.98441,0.832824,19.770546,0.14497836,20.79896,0.80054224,20.740282,0.63173646,6,0.7193847150354142
iDR3.SPLUS-s25s32.026881,48.58724332952195,-32.14759346899597,0.53997517,0.1558761,1.1846602,"[1.343942,2.4598134,3.881945,5.9852147]",4.567315,13.0,6.580988,17.514238,1.7306437,25.211876,16.95456,20.538641,0.37892145,20.422384,0.57788604,20.758827,0.7535491,20.1585,0.42626038,21.52001,0.48721454,20.919382,0.6529858,20.613602,0.19307883,20.926485,20.305325,20.493162,0.17751457,20.172668,0.17489506,20.047794,0.33498228,19.773573,0.21673433,6,0.7716728942716973
iDR3.SPLUS-s25s32.026894,49.14272626489616,-32.14932936669763,0.21848233,0.13461852,1.1555598,"[0.92401946,1.4934142,1.8818301,2.4191809]",5.1082,8.0,7.0252056,17.912283,1.1497661,22.525646,1.0906438,99.0,21.002748,21.834614,1.6090435,21.450909,1.0119295,99.0,20.803356,22.29979,0.7090564,22.812237,2.641177,21.87738,0.44610724,21.870722,21.900183,21.656734,0.37370288,21.10181,0.29226354,21.917532,1.3400197,99.0,21.001133,6,0.8685632624696991
iDR3.SPLUS-s25s32.026917,49.64339933252192,-32.14880824836367,0.364433,0.22187823,1.2851459,"[1.3972939,2.486278,3.521951,7.6663136]",7.9337087,3.0,6.561113,18.214518,1.5040256,21.504124,0.5040668,22.48989,2.039077,21.023102,0.9013964,20.565882,0.52694553,21.137808,0.87148726,21.543953,0.41533992,21.686695,1.1004674,21.792149,0.48395842,21.584473,21.72428,20.882488,0.21604899,21.2518,0.39100772,20.4586,0.408866,20.24201,0.2788967,6,0.743086209851026
iDR3.SPLUS-s25s32.026926,50.04488505184015,-32.14708838830776,0.044694234,0.2789771,1.3869184,"[1.0833334,1.8684236,2.642112,5.82122]",6.157577,5.0,6.8823423,18.420513,1.329809,99.0,21.589981,99.0,21.002748,99.0,20.432768,22.16915,2.0184233,22.693233,3.2019563,21.746681,0.4406431,21.95575,1.2406213,21.749565,0.40329286,21.75965,21.599329,21.019201,0.21241812,22.32097,0.91819304,99.0,20.80942,21.451035,0.7454076,6,0.5988654870903112
iDR3.SPLUS-s25s32.026932,49.64199011279819,-32.14835060573637,0.07068151,0.25779873,1.3473434,"[1.6400031,3.3601184,5.755861,8.629485]",8.754087,9.0,7.034657,18.041546,1.69804,22.0826,1.0186168,99.0,21.002748,21.277397,1.3531572,20.966747,0.9038492,99.0,20.803356,21.030396,0.30840233,20.934254,0.65615344,20.972656,0.27147296,21.70888,20.813145,20.55095,0.18945353,20.298845,0.19409089,19.405151,0.18530062,19.829588,0.22715779,6,0.5909888373887292
