ID,RA,DEC,CLASS_STAR,ELLIPTICITY,ELONGATION,FLUX_RADIUS,FWHM,ISOarea,KRON_RADIUS,MU_MAX,A,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,r_aper_6,r_petro,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Label
iDR3.SPLUS-s27s36.043524,56.64724394304161,-34.56841459959623,0.35557452,0.1661253,1.1992209,"[,2.1013238,4.539291,-10.528877,-25.597044]",6.5814695,5.0,8.392918,17.741468,1.2935512,23.223225,3.8803656,22.143936,2.2839549,99.0,20.459126,20.919336,1.2876782,99.0,20.464106,21.39604,0.78304756,21.597967,1.8905693,20.47518,0.2636408,21.427393,20.636381,21.063498,0.49658716,99.0,21.518583,99.0,20.604609,18.517012,0.088507086,6
iDR3.SPLUS-s27s36.043528,56.69766292044449,-34.5685370764334,0.012449133,0.12806958,1.1468805,"[1.6423408,3.0415695,5.0919743,7.8947334]",10.174805,10.0,7.630884,17.557281,1.8193579,20.171434,0.3130846,20.117683,0.47342885,20.406656,0.9495171,99.0,20.092134,99.0,20.464106,21.516819,1.1309524,20.45429,0.8532753,20.041801,0.22873878,20.754982,20.165337,20.186306,0.2866812,19.670263,0.19761513,19.647049,0.3887178,19.221975,0.2200673,6
iDR3.SPLUS-s27s36.043539,57.00461769145826,-34.570772645019005,0.34808218,0.60580814,2.5368357,"[1.0512329,1.8238691,2.9786265,1.0775878]",0.0,0.0,6.7136736,18.30844,1.0622694,23.839407,3.2191966,99.0,20.935532,21.216778,0.7094487,20.834894,0.52262944,23.15358,4.274058,21.893524,0.5404766,24.465242,11.528788,21.872286,0.4226574,23.104355,22.357058,22.393845,0.7483759,23.23504,1.784612,23.020195,2.9688623,21.32147,0.5212513,6
iDR3.SPLUS-s27s36.043552,58.01056613355363,-34.56895894392283,0.39393663,0.32088172,1.4724976,"[0.8546405,1.9225852,3.1870255,3.8995018]",0.5322677,1.0,9.25291,18.067219,0.85831976,99.0,21.535622,25.557156,37.187645,99.0,20.459126,21.711544,1.7139415,20.78594,0.7145248,24.015852,5.6028543,24.788424,22.885601,21.117975,0.3119121,21.160826,21.398804,21.473175,0.47418836,22.08497,0.90510154,21.527477,1.0981504,20.902472,0.51733124,6
iDR3.SPLUS-s27s36.043570,56.64805926537969,-34.570351565655045,0.34964183,0.41152763,1.6993152,"[3.4479368,7.6805587,9.035675,9.035675]",0.0,1.0,9.774232,18.15842,1.5059458,23.48425,5.618729,99.0,20.935532,20.469803,0.85829896,20.250648,0.79268956,19.974283,0.59969115,20.59105,0.425221,99.0,20.530437,22.071585,1.3016788,21.035412,21.076328,21.072569,0.5698722,99.0,21.518583,99.0,20.604609,18.044926,0.06536005,6
iDR3.SPLUS-s27s36.043571,57.75217444398871,-34.56915055035821,0.40096962,0.51292694,2.05308,"[1.2397311,2.5648248,3.4636936,4.226288]",0.0,0.0,7.414622,18.264948,1.2533151,22.440577,1.3462073,21.946344,1.3583002,99.0,20.459126,99.0,20.092134,21.118284,0.9692243,21.665083,0.6444117,99.0,20.530437,21.749622,0.5601994,21.561068,21.787056,99.0,21.833641,21.825811,0.7135562,20.717148,0.521603,20.622404,0.39989585,6
iDR3.SPLUS-s27s36.043587,57.24487413527344,-34.5708786091996,0.4313353,0.23750055,1.3114763,"[0.85620797,1.6255991,2.3714492,4.581357]",4.401489,2.0,6.9959393,17.93475,0.8502893,22.313034,0.96467483,99.0,20.935532,99.0,20.459126,22.375938,2.5631075,22.128656,1.9910522,23.39521,2.5677319,99.0,20.530437,21.737484,0.44898114,21.628958,21.726244,22.724123,1.2191958,21.25253,0.34399533,20.095901,0.24175909,21.210117,0.56048256,6
iDR3.SPLUS-s27s36.043628,58.15168888257995,-34.572736181058744,0.4811461,0.4493034,1.815882,"[1.2553127,2.1649423,4.142263,4.5621877]",0.0,1.0,6.573591,18.104382,1.0608072,99.0,21.535622,99.0,20.935532,22.459312,2.5979378,99.0,20.092134,22.321062,2.3162901,24.091341,4.750145,23.37263,4.9154816,22.46514,0.84625006,23.07427,23.063938,22.437284,0.90533465,21.174726,0.31056517,21.506073,0.85205543,20.414406,0.26176217,6
iDR3.SPLUS-s27s36.043651,57.781105469979735,-34.57587112242025,0.39223754,0.25877398,1.3491161,"[1.2305759,2.2986002,3.2511294,4.042028]",0.0,1.0,7.2870903,18.011288,1.40871,20.970015,0.47163916,99.0,20.935532,99.0,20.459126,22.831207,6.5001483,99.0,20.464106,22.765396,2.3994703,99.0,20.530437,21.687454,0.7156327,22.033781,22.005947,21.870241,0.9290905,20.994001,0.4493946,20.644108,0.65944076,20.55133,0.5066841,6
iDR3.SPLUS-s27s36.043676,57.781022652118,-34.5769146965347,0.3610664,0.7378336,3.814372,"[1.700186,3.3041844,5.7436285,6.865107]",6.698044,2.0,7.868999,18.175215,2.1910262,21.016771,0.49230704,21.976616,1.8894125,22.687544,5.5924683,99.0,20.092134,21.27635,1.5155827,22.956469,2.8609262,99.0,20.530437,21.520071,0.6135691,21.861042,20.931534,21.245077,0.5230547,20.75517,0.36087307,20.109615,0.40366092,19.977764,0.29911828,6
